timestamp,value,is_anomaly
1,1023.45,0
2,998.67,0
3,1045.89,0
4,1012.34,0
5,989.76,0
6,1056.23,0
7,1034.56,0
8,1067.89,0
9,1078.34,0
10,1045.67,0
11,35.67,1
12,28.90,1
13,42.34,1
14,1012.45,0
15,995.67,0
16,1034.56,0
17,1089.23,0
18,1056.78,0
19,1023.45,0
20,1078.90,0
21,2156.78,1
22,2345.67,1
23,2189.34,1
24,1034.56,0
25,1012.34,0
26,989.67,0
27,1045.78,0
28,1067.89,0
29,1023.45,0
30,1056.78,0
31,25.67,1
32,31.23,1
33,45.89,1
34,1012.34,0
35,1045.67,0
36,1078.90,0
37,1034.56,0
38,1056.78,0
39,1089.23,0
40,1023.45,0
41,2234.56,1
42,2456.78,1
43,2123.45,1
44,1067.89,0
45,1034.56,0
46,1012.34,0
47,1045.67,0
48,1078.90,0
49,1056.78,0
50,1023.45,0 
